HIT ID	Pairwise R, Unweighted	Pairwise R, Weighted	Average Pairwise R, Weighted
3I7SHAD35LVYIH01JF2JTYSU67R7MS	Worker 120 and Worker 2 R-Value: 0.476282042478, Worker 120 and Worker 131 R-Value: -0.018827751471, Worker 120 and Worker 123 R-Value: 0.0605227532669, Worker 120 and Worker 124 R-Value: 0.312640945659, Worker 2 and Worker 131 R-Value: 0.38401228859, Worker 2 and Worker 123 R-Value: 0.308606699924, Worker 2 and Worker 124 R-Value: 0.0613139339485, Worker 131 and Worker 123 R-Value: 0.311085508419, Worker 131 and Worker 124 R-Value: 0.288429975201, Worker 123 and Worker 124 R-Value: 0.39735970712	Worker 120 and Worker 2 Weighted R-Value: 0.14189593369, Worker 120 and Worker 131 Weighted R-Value: -0.00473130324356, Worker 120 and Worker 123 Weighted R-Value: 0.0191285977485, Worker 120 and Worker 124 Weighted R-Value: 0.0600161303388, Worker 2 and Worker 131 Weighted R-Value: 0.104785583338, Worker 2 and Worker 123 Weighted R-Value: 0.104195674879, Worker 2 and Worker 124 Weighted R-Value: 0.0130930575634, Worker 131 and Worker 123 Weighted R-Value: 0.0905266676853, Worker 131 and Worker 124 Weighted R-Value: 0.0481422087655, Worker 123 and Worker 124 Weighted R-Value: 0.0920576895065	0.260265959941	0.258142610313
3BFF0DJK8WBOEAADGF16A3JINTZST0	Worker 120 and Worker 132 R-Value: 0.285777827751, Worker 120 and Worker 2 R-Value: 0.46390440538, Worker 120 and Worker 133 R-Value: -0.226854564297, Worker 120 and Worker 19 R-Value: 0.419551164946, Worker 132 and Worker 2 R-Value: 0.651567152121, Worker 132 and Worker 133 R-Value: 0.394335511983, Worker 132 and Worker 19 R-Value: 0.563051040217, Worker 2 and Worker 133 R-Value: 0.177281521955, Worker 2 and Worker 19 R-Value: 0.522162371994, Worker 133 and Worker 19 R-Value: 0.586032715328	Worker 120 and Worker 132 Weighted R-Value: 0.107171084311, Worker 120 and Worker 2 Weighted R-Value: 0.138208336392, Worker 120 and Worker 133 Weighted R-Value: -0.057739783521, Worker 120 and Worker 19 Weighted R-Value: 0.110290060711, Worker 132 and Worker 2 Weighted R-Value: 0.258406100691, Worker 132 and Worker 133 Weighted R-Value: 0.139275690573, Worker 132 and Worker 19 Weighted R-Value: 0.203567610969, Worker 2 and Worker 133 Weighted R-Value: 0.0489473608509, Worker 2 and Worker 19 Weighted R-Value: 0.148530432523, Worker 133 and Worker 19 Weighted R-Value: 0.141264213688	0.398908672925	0.383680914738
3P4C70TRMQGX5STHC65YZYQY55FLG2	Worker 102 and Worker 103 R-Value: 0.341753371301, Worker 102 and Worker 93 R-Value: 0.0975310494237, Worker 102 and Worker 105 R-Value: 0.370259479686, Worker 102 and Worker 96 R-Value: 0.676067100717, Worker 103 and Worker 93 R-Value: 0.336345791738, Worker 103 and Worker 105 R-Value: -0.186211324936, Worker 103 and Worker 96 R-Value: 0.398058669326, Worker 93 and Worker 105 R-Value: 0.0494865347288, Worker 93 and Worker 96 R-Value: 0.376862490009, Worker 105 and Worker 96 R-Value: 0.131774279497	Worker 102 and Worker 103 Weighted R-Value: 0.110595985679, Worker 102 and Worker 93 Weighted R-Value: 0.0273495349358, Worker 102 and Worker 105 Weighted R-Value: 0.111490684613, Worker 102 and Worker 96 Weighted R-Value: 0.266464007272, Worker 103 and Worker 93 Weighted R-Value: 0.0475387364965, Worker 103 and Worker 105 Weighted R-Value: -0.0301727764442, Worker 103 and Worker 96 Weighted R-Value: 0.10152825911, Worker 93 and Worker 105 Weighted R-Value: 0.00588100137353, Worker 93 and Worker 96 Weighted R-Value: 0.0798435325042, Worker 105 and Worker 96 Weighted R-Value: 0.0306454382109	0.310272545873	0.259192744149
3O2Y2UIUCPTG7MF4GMNF2DD7FQOKFD	Worker 197 and Worker 2 R-Value: 0.10575313739, Worker 197 and Worker 187 R-Value: 0.281864774888, Worker 197 and Worker 48 R-Value: -0.136480208421, Worker 197 and Worker 4 R-Value: 0.164504880384, Worker 2 and Worker 187 R-Value: 0.203421478275, Worker 2 and Worker 48 R-Value: 0.538839848665, Worker 2 and Worker 4 R-Value: 0.613402061856, Worker 187 and Worker 48 R-Value: 0.151619608716, Worker 187 and Worker 4 R-Value: 0.143591631724, Worker 48 and Worker 4 R-Value: 0.293912644727	Worker 197 and Worker 2 Weighted R-Value: 0.0144482643664, Worker 197 and Worker 187 Weighted R-Value: 0.000614515637526, Worker 197 and Worker 48 Weighted R-Value: -0.0120266585938, Worker 197 and Worker 4 Weighted R-Value: 0.0175656093897, Worker 2 and Worker 187 Weighted R-Value: 0.0376447846728, Worker 2 and Worker 48 Weighted R-Value: 0.146024548005, Worker 2 and Worker 4 Weighted R-Value: 0.177675916314, Worker 187 and Worker 48 Weighted R-Value: 0.0207045170071, Worker 187 and Worker 4 Weighted R-Value: 0.022287453736, Worker 48 and Worker 4 Weighted R-Value: 0.070878251532	0.307514398307	0.23604298582
3ZXNP4Z39QKECZIGJ314TLD56217LQ	Worker 120 and Worker 115 R-Value: 0.351364184463, Worker 120 and Worker 123 R-Value: 0.552770798393, Worker 120 and Worker 2 R-Value: 0.41253223034, Worker 120 and Worker 48 R-Value: -0.160633291192, Worker 115 and Worker 123 R-Value: 0.556186510393, Worker 115 and Worker 2 R-Value: 0.0592973389137, Worker 115 and Worker 48 R-Value: -0.217700172092, Worker 123 and Worker 2 R-Value: 0.57668550182, Worker 123 and Worker 48 R-Value: -0.290596557667, Worker 2 and Worker 48 R-Value: -0.178144764228	Worker 120 and Worker 115 Weighted R-Value: 0.0781343113794, Worker 120 and Worker 123 Weighted R-Value: 0.174706695893, Worker 120 and Worker 2 Weighted R-Value: 0.12290332362, Worker 120 and Worker 48 Weighted R-Value: -0.0400654412337, Worker 115 and Worker 123 Weighted R-Value: 0.145766779408, Worker 115 and Worker 2 Weighted R-Value: 0.0144656106921, Worker 115 and Worker 48 Weighted R-Value: -0.042549068684, Worker 123 and Worker 2 Weighted R-Value: 0.194707811171, Worker 123 and Worker 48 Weighted R-Value: -0.0840202353484, Worker 2 and Worker 48 Weighted R-Value: -0.0482768836424	0.192092888601	0.166176177914
3KLL7H3EGC0E1T0MAGPM7701B2WHVG	Worker 19 and Worker 9 R-Value: 0.467837308177, Worker 19 and Worker 2 R-Value: 0.461851114119, Worker 19 and Worker 37 R-Value: 0.223025967095, Worker 19 and Worker 35 R-Value: 0.550801490682, Worker 9 and Worker 2 R-Value: 0.296721213028, Worker 9 and Worker 37 R-Value: 0.720723185936, Worker 9 and Worker 35 R-Value: 0.52646452885, Worker 2 and Worker 37 R-Value: 0.317331531209, Worker 2 and Worker 35 R-Value: 0.424967075107, Worker 37 and Worker 35 R-Value: 0.602763008089	Worker 19 and Worker 9 Weighted R-Value: 0.152123416338, Worker 19 and Worker 2 Weighted R-Value: 0.131374739776, Worker 19 and Worker 37 Weighted R-Value: 0.0797725561758, Worker 19 and Worker 35 Weighted R-Value: 0.213615617189, Worker 9 and Worker 2 Weighted R-Value: 0.106882226612, Worker 9 and Worker 37 Weighted R-Value: 0.312391106803, Worker 9 and Worker 35 Weighted R-Value: 0.244061179382, Worker 2 and Worker 37 Weighted R-Value: 0.124625829133, Worker 2 and Worker 35 Weighted R-Value: 0.179707839165, Worker 37 and Worker 35 Weighted R-Value: 0.299033726686	0.469814960838	0.459248642229
3QE4DGPGBQA17KMW6E6HDHONJI3G4L	Worker 60 and Worker 43 R-Value: 0.0641940738766, Worker 60 and Worker 59 R-Value: 0.126430906749, Worker 60 and Worker 4 R-Value: 0.242681335849, Worker 60 and Worker 49 R-Value: -0.179602584074, Worker 43 and Worker 59 R-Value: -0.501883001275, Worker 43 and Worker 4 R-Value: -0.173591268707, Worker 43 and Worker 49 R-Value: -0.607742659264, Worker 59 and Worker 4 R-Value: 0.0277207976608, Worker 59 and Worker 49 R-Value: 0.169182546671, Worker 4 and Worker 49 R-Value: 0.219551596858	Worker 60 and Worker 43 Weighted R-Value: 0.0127796024641, Worker 60 and Worker 59 Weighted R-Value: -0.00138430601959, Worker 60 and Worker 4 Weighted R-Value: 0.0412041713642, Worker 60 and Worker 49 Weighted R-Value: -0.0205939529225, Worker 43 and Worker 59 Weighted R-Value: -0.054387469863, Worker 43 and Worker 4 Weighted R-Value: -0.0501857716107, Worker 43 and Worker 49 Weighted R-Value: -0.142199598999, Worker 59 and Worker 4 Weighted R-Value: 0.0021920600831, Worker 59 and Worker 49 Weighted R-Value: 0.00405246974298, Worker 4 and Worker 49 Weighted R-Value: 0.0449399053509	-0.115872533895	-0.0613058255656
335HHSX8CC4S7C00JVPS1LUUBWYDHL	Worker 145 and Worker 123 R-Value: 0.510112785336, Worker 145 and Worker 4 R-Value: 0.407645709633, Worker 145 and Worker 48 R-Value: 0.154303349962, Worker 145 and Worker 149 R-Value: 0.533113989983, Worker 123 and Worker 4 R-Value: 0.545311070903, Worker 123 and Worker 48 R-Value: 0.644008186112, Worker 123 and Worker 149 R-Value: 0.700472796916, Worker 4 and Worker 48 R-Value: 0.44998478225, Worker 4 and Worker 149 R-Value: 0.529373203138, Worker 48 and Worker 149 R-Value: 0.41130637283	Worker 145 and Worker 123 Weighted R-Value: 0.18731737128, Worker 145 and Worker 4 Weighted R-Value: 0.130133439644, Worker 145 and Worker 48 Weighted R-Value: 0.0463794563424, Worker 145 and Worker 149 Weighted R-Value: 0.245823497815, Worker 123 and Worker 4 Weighted R-Value: 0.167840567835, Worker 123 and Worker 48 Weighted R-Value: 0.186202203487, Worker 123 and Worker 149 Weighted R-Value: 0.314978554719, Worker 4 and Worker 48 Weighted R-Value: 0.108515693877, Worker 4 and Worker 149 Weighted R-Value: 0.212643715135, Worker 48 and Worker 149 Weighted R-Value: 0.157543141878	0.499172652388	0.488563224706
3PZDSVZ3J4G7HC3ITIJC31XKKVK4NE	Worker 201 and Worker 197 R-Value: 0.28957025344, Worker 201 and Worker 202 R-Value: 0.607142857143, Worker 201 and Worker 4 R-Value: 0.156941205144, Worker 201 and Worker 179 R-Value: 0.298807152334, Worker 197 and Worker 202 R-Value: 0.0723925633599, Worker 197 and Worker 4 R-Value: -0.636237063679, Worker 197 and Worker 179 R-Value: -0.302839819908, Worker 202 and Worker 4 R-Value: 0.313882410287, Worker 202 and Worker 179 R-Value: 0.821719668917, Worker 4 and Worker 179 R-Value: 0.426745906794	Worker 201 and Worker 197 Weighted R-Value: 0.0445998635, Worker 201 and Worker 202 Weighted R-Value: 0.283903658134, Worker 201 and Worker 4 Weighted R-Value: 0.0481895581566, Worker 201 and Worker 179 Weighted R-Value: 0.111992213499, Worker 197 and Worker 202 Weighted R-Value: 0.0193526914793, Worker 197 and Worker 4 Weighted R-Value: -0.0679365360699, Worker 197 and Worker 179 Weighted R-Value: -0.0528520401464, Worker 202 and Worker 4 Weighted R-Value: 0.131944803783, Worker 202 and Worker 179 Weighted R-Value: 0.401086782976, Worker 4 and Worker 179 Weighted R-Value: 0.139782931075	0.343269932305	0.204812513383
3XH7ZM9YX1TTTG1M3KWKTTDA7KJR9H	Worker 159 and Worker 158 R-Value: 0.181437704049, Worker 159 and Worker 2 R-Value: 0.371251794063, Worker 159 and Worker 160 R-Value: 0.367033884252, Worker 159 and Worker 161 R-Value: -0.059281320217, Worker 158 and Worker 2 R-Value: -0.184972674901, Worker 158 and Worker 160 R-Value: 0.170996392014, Worker 158 and Worker 161 R-Value: 0.0276184088333, Worker 2 and Worker 160 R-Value: 0.321944753869, Worker 2 and Worker 161 R-Value: -0.197595320998, Worker 160 and Worker 161 R-Value: 0.0897303170097	Worker 159 and Worker 158 Weighted R-Value: 0.0490948641106, Worker 159 and Worker 2 Weighted R-Value: 0.116215715778, Worker 159 and Worker 160 Weighted R-Value: 0.108868270189, Worker 159 and Worker 161 Weighted R-Value: -0.00671502358376, Worker 158 and Worker 2 Weighted R-Value: -0.0512468616064, Worker 158 and Worker 160 Weighted R-Value: 0.0445667783377, Worker 158 and Worker 161 Weighted R-Value: 0.00213455460474, Worker 2 and Worker 160 Weighted R-Value: 0.0975748207762, Worker 2 and Worker 161 Weighted R-Value: -0.0236594403343, Worker 160 and Worker 161 Weighted R-Value: 0.00927055902244	0.16213887241	0.108816393797
